English,Tiếng Việt
demonstrate,chứng minh
strategic,chiến lược
remainder,phần còn lại
discount,giảm giá
execute,hành hình
essential,thiết yếu
divide,chia
multiplication,phép nhân
county,Quận
major,lớn lao
decay,mục nát
precede,đứng trước
preface,Lời nói đầu
apparently,rõ ràng
aware,nhận thức
accidentally,vô tình
advisable,có thể khuyên bảo
medical,thuộc về y học
collection,bộ sưu tập
retirement,sự nghỉ hưu
exhibition,triển lãm
sculpture,điêu khắc
sculpture,điêu khắc
gallery,phòng trưng bày
gallery,phòng trưng bày
broadcast,phát tin
debate,tranh luận
debate,tranh luận
popular,phổ biến
donation,Quyên góp
worthy,xứng đáng
contribution,sự đóng góp
present,hiện tại
scheme,cơ chế
public,công cộng
observer,Người quan sát
foreign,nước ngoài
required,yêu cầu
succeed,thành công
pretty,đẹp
tough,khó
property,tài sản
property,tài sản
subscription,đăng ký
annual,hàng năm
accompany,đồng hành
edition,phiên bản
specifically,đặc biệt
aim,mục tiêu
advertisements,Quảng cáo
informative,nhiều thông tin
note,ghi chú
article,bài báo
several,một số
incompetence,không có khả năng
similar,tương tự
constraint,hạn chế
object,sự vật
structure,kết cấu
course,khóa học
section,phần
construct,xây dựng
piece,cái
comprehension,bao quát
apprehensive,E sợ
beneficial,có lợi
harmful,có hại
upcoming,sắp tới
concert,buổi hòa nhạc
lend,cho mượn
borrow,vay mượn
rent,thuê
showing,Hiển thị
local,địa phương
current,hiện hành
variety,đa dạng
contributor,người đóng góp
defy,thách thức
fascinating,lôi cuốn
celebrity,người nổi tiếng
particularly,cụ thể
resistant,kháng thuốc
disease,bệnh
alumni,cựu sinh viên
package,bưu kiện
admission,nhận vào
medieval,thời trung cổ
banquet,Bữa tiệc
anniversary,dịp kỉ niệm
revolution,cuộc cách mạng
rest,nghỉ ngơi
fund-rasing,Tiền quỹ
rake,cào
rake,cào
cash,tiền mặt
anonymous,vô danh
peremptory,sự khinh miệt
commit,làm
audience,khán giả
delighted,vui mừng
author,tác giả
antique,đồ cổ
manuscript,bản thảo
advocate,biện hộ
railways,Đường sắt
state,tình trạng
survey,sự khảo sát
revealed,tiết lộ
content,nội dung
copper,đồng
eagle,chim ưng
monopoly,sự độc quyền
competition,cuộc thi
consistently,nhất quán
thought-provoking,kích thích tư duy
give in,nhượng bộ
explanation,giải trình
expand,mở rộng
advanced,trình độ cao
postpone,hoãn
additional,thêm vào
extra,thêm
charge,thù lao
wheel,bánh xe
front,đằng trước
effective,hiệu quả
decoration,trang trí
especially,đặc biệt
closely,chặt chẽ
reserve,dự trữ
awfully,khủng khiếp
refuse,từ chối
cooperate,hợp tác
enquiry,cuộc điều tra
inquiry,cuộc điều tra
situation,tình huống
serious,nghiêm trọng
consecutive,Liên tiếp
leaned out,nghiêng ra
extremely,vô cùng
determine,quyết tâm
affect,ảnh hưởng
probable,có thể xảy ra
failure,sự thất bại
focus,tập trung
seasonal,theo mùa
temperature,nhiệt độ
below,dưới
impact,sự va chạm
disastrous,thảm họa
comparison,so sánh
gap,khoảng cách
mounting,gắn
reflective,phản chiếu
respondent,người trả lời
do one's ulmost,Làm một người tối đa
do one's best to,Làm tốt nhất để
appreciate,đánh giá
publicize,công khai
target,mục tiêu
conpaign,conpaign
controversial,gây tranh cãi
marginal,cận biên
influence,ảnh hưởng
instantly,ngay lập tức
urgently,khẩn cấp
hastily,vội vàng
creative,sáng tạo
bonkers,điên loạn
genuis,thực sự
aggressively,tích cực
passively,thụ động
minor,người vị thành niên
indicate,biểu thị
attract,thu hút
circus,rạp siếc
huge,to lớn
exploratory,khám phá
experience,kinh nghiệm
advise,khuyên nhủ
charity,tổ chức từ thiện
means,có nghĩa
instrument,dụng cụ
prefer,thích hơn
advantage,lợi thế
necessarily,nhất thiết
detect,phát hiện
consider,coi như
majority,số đông
adopt,nhận nuôi
prime,xuất sắc
minister,"bộ trưởng, mục sư"
inflexible,không linh hoạt
immigration,nhập cư
largely,phần lớn
ignore,phớt lờ
advice,khuyên bảo
reduce,giảm bớt
redundant,dư thừa
provide,cung cấp
modify,biến đổi
onto,trên
sort,loại
separate,chia
previous,trước
essence,nước hoa
spotted,phát hiện ra
instead,thay vì
combine,kết hợp
combine,kết hợp
existing,hiện tại
tackle,giải quyết
tackle,giải quyết
concept,ý tưởng
encounter,bắt gặp
encounter,bắt gặp
leap year,năm bước nhảy
specify,Chỉ định
further,hơn nữa
declaration,tuyên ngôn
quotation,Trích dẫn
mask,mặt nạ
forward,phía trước
console,Bảng điều khiển
console,Bảng điều khiển
confuse,bối rối
scratch,cào
attempt,nỗ lực
describe,mô tả
suppose,giả định
assumption,giả thiết
reach,với tới
omitted,bỏ qua
product,sản phẩm
including,bao gồm
reproduce,tái sản xuất
notice,để ý
witting,Witing
conscious,biết rõ
cognizant,nhận thức
pretend,giả vờ
evaluate,đánh giá
occur,xảy ra
restore,khôi phục
bucket,Gầu múc
obvious,rõ ràng
indeed,thực vậy
famcier,Famcier
complex,tổ hợp
exercise,bài tập
wrap,bọc
suicidal,tự tử
ecstacy,ngây ngất
promising,hứa hẹn
profit,lợi nhuận
stable,ổn định
pratice,pratice
syntax,Cú pháp
counter,quầy tính tiền
initialize,khởi tạo
trigger,cò súng
capable,có khả năng
wandering,lang thang
graphic,đồ họa
clever,thông minh
interface,giao diện
surface,bề mặt
instance,ví dụ
inherit,thừa kế
collision,va chạm
squirrel,con sóc
contemporary,đồng thời
effort,cố gắng
incentive,khích lệ
financial,tài chính
budget,ngân sách
earning,kiếm tiền
scanned,quét
customer,khách hàng
introduce,giới thiệu
tobacco,thuốc lá
cigarette,thuốc lá
deputize,Phân bổ
director,giám đốc
alternate,Luân phiên
cheerfulness,sự vui vẻ
despair,tuyệt vọng
regard,về
priestess,nữ tư tế
lively,sống động
a series,một loạt
aftershock,dư chấn
earthquake,động đất
resolve,giải quyết
transport,chuyên chở
intensify,tăng cường
disregard,xem thường
so far,cho đến nay
mastermind,chủ mưu
dramatically,đáng kể
substantially,đáng kể
unstable,không ổn định
rapidly,liên tục
assert,khẳng định
predict,dự đoán
upswing,lên cao
express,thể hiện
potential,tiềm năng
limited,giới hạn
cactus,cây xương rồng
evenly,như nhau
mixture,Hỗn hợp
harmonious,hài hòa
prospect,tiềm năng
expedition,cuộc thám hiểm
period,Giai đoạn
industrious,siêng năng
likely,rất có thể
end up,kết thúc
substitute,thay thế
towards,đối với
fairly,công bằng
economical,tiết kiệm
extravagant,ngông cuồng
implication,hàm ý
splitting,chia tách
prosperity,sự phồn vinh
stagnant,trì trệ
scarce,khan hiếm
sluggish,chậm chạp
feature,tính năng
cursor,con trỏ
brisk,nhanh chóng
lately,gần đây
recently,gần đây
soar,bay lên
plummet,dây chì
firework,pháo hoa
boost,tăng
theater,nhà hát
costly,tốn kém
murder,giết người
fall,ngã
indicator,chỉ báo
inflation,lạm phát
claimed,tuyên bố
commodity,hàng hóa
useful,hữu ích
extraordinary,đặc biệt
slightly,nhẹ nhàng
phrases,cụm từ
consequence,kết quả
thrive,phát triển
flourish,Hưng thịnh
depresstion,giảm bớt
slump,sự sụt giảm
recession,suy thoái
dwindle,SWINDLE
community,cộng đồng
impede,trở ngại
career,sự nghiệp
adversity,nghịch cảnh
pave,mở
purchase,mua
affordable,có thể chi trả
opportunity,cơ hội
precisely,đúng
dress-making,Mặc quần áo
price,giá
offer,lời đề nghị
solely,cô độc
available,có sẵn
established,thành lập
relatively,tương đối
quantity,Số lượng
leadership,Khả năng lãnh đạo
put into effect,đưa vào hiệu lực
put to use,đưa vào sử dụng
inevitable,không thể tránh khỏi
legible,dễ đọc
abundant,dồi dào
quotes,trích dẫn
elevator,thang máy
mutually,hỗ trợ
valid,có hiệu lực
installment,trả góp
auction,bán đấu giá
authetic,thực sự
warranty,sự bảo đảm
receipt,biên lai
change,thay đổi
spare,dự phòng
jar,cái lọ
take over,tiếp quản
clearance,giải tỏa
acceptable,chấp nhận được
desire,sự mong muốn
revenge,sự trả thù
relevant,liên quan
compatibility,khả năng tương thích
complicated,phức tap
element,yếu tố
relief,sự cứu tế
weird,kỳ quặc
weird,kỳ quặc
consumption,sự tiêu thụ
fabric,vải vóc
vandor,sự phá hoại
exchange,trao đổi
research + on,Nghiên cứu + trên
dedicate,cống hiến
devise,nghĩ ra
invent,phát minh
ingeniously,khéo léo
fold up,Gấp lên
innovative,đổi mới
sufficiently,đủ
deficiently,thiếu sót
following,tiếp theo
intend,có ý định
technique,kỹ thuật
invest,đầu tư
improve,cải thiện
upgrade,nâng cấp
hold,giữ
reliable,đáng tin cậy
dependable,đáng tin cậy
private,riêng tư
suffer,chịu đựng
individual,cá nhân
hanging over your head,Treo trên đầu của bạn
procrastination,sự trì hoãn
floodwaters,nước lũ
setback,trở lại
trace,dấu vết
accurate,chính xác
novel,cuốn tiểu thuyết
novel,cuốn tiểu thuyết
manufacturer,nhà chế tạo
compatible,tương thích
superior,thượng đẳng
interior,Nội địa
broaden,nới rộng
corrosion,Ăn mòn
against,chống lại
alloy,Hợp kim
shelter,nơi trú ẩn
inspire,truyền cảm hứng
depth,chiều sâu
furnace,lò lửa
dormitory,ký túc xá
insist + on,khăng khăng + trên
purely + by,hoàn toàn + bởi
chance,cơ hội
college,trường cao đẳng
annoying,khó chịu
make toast,làm bánh mì nướng
typical,đặc trưng
schedule,lịch trình
patent,bằng sáng chế
envision,hình dung
grant,khoản trợ cấp
various,nhiều
manual,thủ công
domestic,nội địa
export,xuất khẩu
fight off,đánh lui
properly,đúng cách
critical,phê bình
imperative,bắt buộc
spread,lây lan
slice,lát cắt
toast,nướng
fry,chiên rán
integrate,tích hợp
configuration,cấu hình
common,chung
base,căn cứ
forecastor,người dự báo
steel,Thép
character,tính cách
foe,kẻ thù
